Date,BTCUSD,ETHUSD,XRPUSD,LTCUSD
2020-01-21 11-PM,"8717,89","169,35","0,2363","57,68"
2020-01-21 10-PM,"8703,66","169,16","0,2375","57,2"
2020-01-21 09-PM,"8713,93","169,13","0,2375","57,25"
2020-01-21 08-PM,"8715,75","167,57","0,2377","57,54"
2020-01-21 07-PM,"8506,67","165,15","0,231","56,04"
2020-01-21 06-PM,"8611,63","166,9","0,2341","56,82"
2020-01-21 05-PM,"8633,81","167,63","0,2345","57,25"
2020-01-21 04-PM,"8625,57","167,13","0,2349","57,04"
2020-01-21 03-PM,"8631,89","168,03","0,2358","57,14"
2020-01-21 02-PM,8641,"168,07","0,2365","57,52"
2020-01-21 01-PM,8647,"168,57","0,2383","57,64"
2020-01-21 12-PM,"8642,87","167,83","0,2367","57,61"
2020-01-21 11-AM,"8644,98","167,63","0,2361","57,62"
2020-01-21 10-AM,"8646,87","167,39","0,2361","57,45"
2020-01-21 09-AM,"8617,67","166,33","0,2351","57,13"
2020-01-21 08-AM,"8636,83","167,03","0,2365","57,61"
2020-01-21 07-AM,"8618,94","166,2","0,2344","57,3"
2020-01-21 06-AM,"8628,18","167,17","0,2366","57,63"
2020-01-21 05-AM,"8638,27",167,"0,2365","57,34"
2020-01-21 04-AM,8655,"167,3","0,238","57,86"
2020-01-21 03-AM,"8653,15","167,24","0,2383","57,7"
2020-01-21 02-AM,"8645,38","167,14","0,2379","57,45"
2020-01-21 01-AM,"8634,1","166,62","0,2324","57,26"
2020-01-21 12-AM,"8617,21","166,08","0,2317","57,25"
2020-01-20 11-PM,"8625,17","166,65","0,2324","57,25"
2020-01-20 10-PM,"8644,96","167,35","0,2339","57,42"
2020-01-20 09-PM,"8670,7",167,"0,2341","57,42"
2020-01-20 08-PM,"8655,22",167,"0,2336","57,25"
2020-01-20 07-PM,"8655,28","167,55","0,2329","57,39"
2020-01-20 06-PM,"8648,18","166,12","0,2324","57,39"
2020-01-20 05-PM,"8627,91","166,25","0,2319","57,1"
2020-01-20 04-PM,"8655,09","166,88","0,2326","57,64"
2020-01-20 03-PM,"8664,78","166,36","0,2319","58,02"
2020-01-20 02-PM,"8646,1","165,78","0,2318","57,39"
2020-01-20 01-PM,"8597,63","163,66","0,228","57,1"
2020-01-20 12-PM,"8569,93","162,39","0,2269","56,03"
2020-01-20 11-AM,"8603,31","162,66","0,2283","56,3"
2020-01-20 10-AM,"8644,05","164,7","0,2311","57,01"
2020-01-20 09-AM,"8643,78","164,29","0,2308","56,79"
2020-01-20 08-AM,"8628,77","165,2","0,2312","56,63"
2020-01-20 07-AM,"8652,98","165,22","0,2326","57,03"
2020-01-20 06-AM,"8671,74","165,38","0,2326","56,94"
2020-01-20 05-AM,"8660,97","165,27","0,2319","57,02"
2020-01-20 04-AM,"8625,14","164,71","0,2314","56,78"
2020-01-20 03-AM,"8653,04","165,32","0,2321","56,83"
2020-01-20 02-AM,"8645,97","165,01","0,231","56,74"
2020-01-20 01-AM,"8635,24","164,98","0,2314","56,89"
2020-01-20 12-AM,"8663,16","166,09","0,2334","57,05"
2020-01-19 11-PM,"8696,6","166,72","0,2354","57,65"
2020-01-19 10-PM,"8632,41","165,77","0,2333","57,13"
2020-01-19 09-PM,"8717,79","165,7","0,2335","56,76"
2020-01-19 08-PM,"8638,24","164,07","0,2325","56,43"
2020-01-19 07-PM,"8642,42","164,53","0,2331","56,64"
2020-01-19 06-PM,"8640,6","164,26","0,233",56
2020-01-19 05-PM,"8644,62","165,08","0,233","56,44"
2020-01-19 04-PM,"8636,35","165,1","0,2333","56,66"
2020-01-19 03-PM,"8626,93","164,53","0,2331","56,61"
2020-01-19 02-PM,"8614,24","164,23","0,2315","56,33"
2020-01-19 01-PM,"8624,13","164,5","0,2321","56,46"
2020-01-19 12-PM,"8622,62","165,35","0,2317","56,31"
2020-01-19 11-AM,"8666,51","166,55","0,2336","57,33"
2020-01-19 10-AM,"9025,11","174,52","0,2452","60,55"
2020-01-19 09-AM,"9051,08","175,31","0,246","60,9"
2020-01-19 08-AM,9090,"176,15","0,2473","60,94"
2020-01-19 07-AM,9074,"176,21","0,248","61,23"
2020-01-19 06-AM,"9063,85","174,98","0,2466","60,89"
2020-01-19 05-AM,"9112,65","175,85","0,2478","60,81"
2020-01-19 04-AM,"9134,77","175,88","0,2496","60,85"
2020-01-19 03-AM,9148,"176,03","0,2465",61
2020-01-19 02-AM,"9153,25","176,17","0,2448","60,91"
2020-01-19 01-AM,"9129,85","174,06","0,2456","60,76"
2020-01-19 12-AM,"8976,02","175,86","0,2447","60,2"
2020-01-18 11-PM,"8908,53","174,24","0,243","59,18"
2020-01-18 10-PM,"8937,6","176,8","0,2463","60,06"
2020-01-18 09-PM,"8910,01","176,77","0,2453","60,28"
